DORM,P_BATHROOM,LAUNDRY,CARPET,F_KITCHEN,P_KITCHEN,LOUNGE,GYM,BIKE,COMPUTER,PRINT,AC,MUSIC
"47 Claremont",1,1,1,0,1,1,1,1,1,1,0,0
"600 W 113th",1,1,1,0,1,1,0,0,1,1,0,0
"Broadway Hall",0,1,1,1,0,1,1,0,1,0,1,0
"Carlton Arms",1,1,1,0,1,1,0,1,0,1,0,0
"East Campus",1,1,1,1,1,1,1,0,1,1,1,0
"Furnald Hall",0,1,1,1,0,1,0,1,1,0,1,0
"Harmony Hall",0,1,1,1,0,1,1,1,0,1,0,0
"Hogan Hall",1,1,1,0,1,0,0,1,0,0,0,1
"McBain Hall",0,1,1,1,0,1,1,0,1,0,0,0
"River Hall",1,1,1,1,0,1,1,0,1,0,0,0
"Ruggles Hall",1,1,1,0,1,1,1,1,0,0,0,0
"Schapiro Hall",0,1,1,1,0,1,0,0,1,0,1,0
"Watt Hall",1,1,1,0,1,0,0,0,0,0,0,0
"Wien Hall",0,1,1,1,0,1,0,0,1,0,0,0
"Woodbridge Hall",1,1,0,0,1,0,1,0,0,0,0,0
"Hewitt Hall",0,1,0,1,0,1,0,0,1,1,0,1
"Elliot Hall",1,1,0,1,0,0,0,0,0,0,1,0
"Sulzberger Tower",0,1,0,1,0,1,0,0,1,1,1,1
"600 W 116th St.",1,1,0,0,1,1,0,0,1,1,0,1
"616 W 116th St.",1,1,0,0,1,1,0,0,1,1,0,1
"620 W 116th St.",1,1,0,0,1,1,0,0,1,1,0,1
"601 W 110th St.",1,1,1,0,1,0,0,0,1,1,0,0
"Cathedral Gardens",1,1,0,0,1,1,0,0,0,0,1,0
"Plimpton Hall",1,1,0,0,1,1,0,0,1,1,0,1
