DORM,ADDRESS,DESCRIPTION,COLLEGE,THUMBNAIL_IMAGE,SUITE,WALKTHROUGH,SINGLE_,DOUBLE_,TRIPLE_,PROS,CONS,LATITUDE,LONGITUDE,LOTTERY_NUMS,CLASS_MAKEUP
"47 Claremont","47 Claremont Avenue","47 Claremont, commonly known as Claremont, is located on Claremont Avenue right off 119th Street with mostly juniors and seniors. It is made up of suites of 3-7 people, with shared bathrooms and kitchens. Claremont is loved for its vicinity to Barnard facilities and buildings, and especially coveted now with the opening of Milstein. Though slightly secluded from main campus, Claremont residents experience an intimate, tight-knit group living experience and enjoy quick access to Riverside Park.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/FHXBX6S53BANRLVYYEP2SM7KBQ.jpg,,0,1,1,0,"Suite-style,Fitness room,Close to Barnard/Riverside Park'","No A/C,Far from campus'",40.810173,-73.963966,placeholder,"juniors,seniors"
"600 W 113th","600 West 113th Street","600 W 113th, located on 113th and Broadway, is the perfect place for you if you want to get a taste of actually living in New York City. The dorm is just a block away from main campus, but also has close access to all the great restaurants in Morningside Heights, Westside, and Duane Reade. It’s made up of apartment style suites with a shared kitchen, private bathrooms and a mix of singles and doubles. 600 is quiet, cozy and convenient, and perfect for anyone who is looking for a more residential feel.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/52QDVVUAVJB6VPQ7HJZD77F2YY.jpg,,0,1,1,0,"Suite-style; residential feel,private bathrooms/ access to kitchen,close to Westside/Duane Reade'","No A/C,No gym,mostly doubles unless you are a senior'",40.806065,-73.965805,placeholder,"sophomores,juniors,seniors"
"Broadway Hall","114th Street and Broadway","Broadway Hall is a dorm located along 114th Street, and consists of mainly singles and a few doubles. It is fully AC’d and is literally a short walk not only to Lerner and Ferris, but to other places along Broadway and to John Jay and JJ’s. Broadway Hall contains a mini gym on the 4th floor and two sky lounges, one of which is fully reserved for studying. There’s also a bunch of practice rooms too! Many of the doubles, especially on the higher levels near the corners, have great views of the city. If all of these pique your interest, definitely consider Broadway!'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/J7HNPO2AVRAC3HNWNHEMEMWOGM.jpg,,0,1,1,0,"AC throughout the building,Very close to both Ferris, other restaurants along Broadway,Sky Lounges are very spacious, great view'","Rooms can be a little small,Bathrooms are shared between genders (not single-use) and two shower stalls per bathroom'",40.806091,-73.964722,placeholder,"sophomores,juniors,seniors"
"Carlton Arms","362 Riverside Drive","Carlton Arms is located on Riverside Drive between 108th and 109th Street. It is the farthest Columbia dorms from main campus, though many still love and choose it because of its large suites consisted of 3, 4, 5, 6, or 8 people. Words from the street say that from Carlton Arms you can catch a glimpse of beautiful sunset on the Hudson, and the distance from campus can also be a blessing in disguise if you want to feel more immersed in the liveliness of upper west side.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/W2QZQ3K3DVCTZDYM2J75EDAY5A.jpg,,0,1,1,0,"Large suites,Good facilities,close to 110th subway station'","Far from campus,No gym'",40.803829,-73.968628,placeholder,sophmores
"East Campus","70 Morningside Drive","You have probably been to East Campus already, during NSOP or every other weekend. Known as the rowdy senior dorm, EC is consisted of townhouse, duplex suites and two-person flats with private kitchen and bathroom. Despite its notorious issues with stoves and crippling walls, EC is still one of the most popular senior housing options. You can enjoy a beautiful view looking down at Manhattan, along with a group living experience you won’t regret. It is also one of the few Columbia dorms with both A/C and a fitness room!'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/EFNLDXHRUZGLXLXVPDGKLELKGU.jpg,,0,1,1,0,"A/C,Fitness room,private kitchen and bathroom'","Noise level,Molding on the walls,No stoves/ovens for 2018-2019'",40.807102,-73.958916,placeholder,"sophomores,juniors,seniors"
"Furnald Hall","Inside campus near Broadway and 115th Street","Comprised of mostly freshmen and some sophomores, this corridor-style dorm is the perfect place if you want a quiet environment to come home to after a busy day of classes. It's close to lots of food options including Ferris dining hall, Pret a Manger, and Morton Williams. Each floor has spacious and clean lounges with kitchens, ideal for studying or watching movies with friend, and the lobby area is also a popular hangout spot where you’ll find lots of students cramming late-night homework sessions. All of the rooms have individual A/C units which can be useful during the brutally hot fall months and frigid winters. Furnald is the place to be if you want to live in a peaceful, clean setting with great views overlooking Broadway or the Columbia campus.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/6JGJ344BQJDIZKMDDUEXHRYPT4.jpg,,0,1,1,0,"Close to Lerner and stores/restaurants on Broadway,Clean bathrooms and kitchens,Quiet, low key'","May not be social enough for outgoing people,Sense of community can be hit-or-miss based on floor'",40.807415,-73.963882,placeholder,"first-years,sophomores"
"Harmony Hall","544 West 110th Street","Harmony is located on 110th Street between Amsterdam and Broadway, housing mostly sophomores and juniors. It’s a corridor-style residential hall with mostly singles with shared, co-ed bathrooms and a kitchen every floor. It is rather secluded from main campus, but closer to many upper west side restaurants and stores, and offer an off-campus feel. On another note, it is the title of one of Vampire Weekend’s new songs, so if you are a fan of them, maybe you should look into Harmony for your housing options.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/R4YHYMMJEFA2LJFVUZAIJODKLY.jpg,,0,1,1,0,"Mostly singles,Fitness room,Off-campus experience'","Coed bathrooms,No A/C,Distance from campus'",40.801891,-73.961273,placeholder,"sophomores,juniors,seniors"
"Hogan Hall","566 W. 114th Street","Hogan Hall, located on W 14th St between Broadway and Amsterdam consists of spacious singles organized into suites. Each suite includes 4, 5, or 6 rooms along with a kitchen and private bathroom. With its close proximity to the Van Am Quad, Hogan is perfect for the senior who wants to spend their final here at MoHi living the quintessential Columbia experience -- equal part all-nighters in Butler and hosting wild ragers for friends.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/CUTGLXRG6RFGRILXFDBHMWE3EM.jpg,,0,0,1,0,"Convenient location - close to John Jay, Butler, and Hamilton,Suite Style,Private kitchen and bathroom'","No A/C,No fitness room'",40.806332,-73.964561,placeholder,seniors
"River Hall","628 W. 114th St. (between Broadway and Riverside)","River is located on 114th Street between Riverside and Broadway. It’s made up of large suites with almost all singles, with shared bathrooms and a communal common room and a kitchen per floor. Its proximity to Riverside can be a plus for many, and it also has both music practice rooms in its basement and a fitness room. It is relatively further down the hill on Riverside, so it can be a trek in the morning or winter, but if you are looking for somewhere more quiet, you should definitely consider River.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/AVJRBOZL2RHUHMWEZFL4IBUJUE.jpg,,0,1,1,0,"Singles,Fitness room,Music practice room'","No A/C,Distance from campus'",40.807362,-73.966362,placeholder,"sophomores,juniors,seniors"
"Ruggles Hall","508 W. 114th Street","Ruggles is located on 114th Street between Amsterdam and Broadway, right across from John Jay Hall. It consists of suites of 4, 6, or 8 people, housing mostly juniors and seniors. It’s a popular choice for upperclassmen who want to live in a tight-knit community with their friends and who want quick access to main campus, dining halls as well as local stores and services. Located right on frat row, noise level can be a problem for some, though that should not deter you from choosing Ruggles for its community and convenience.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/OR7RADSPTFFMBGSNB455FHGKVQ.jpg,,0,1,1,0,"Proximity to John Jay & main campus,Suite-style,Easy to get singles'","Noise level,No A/C'",40.805752,-73.962692,placeholder,"sophomores,juniors,seniors"
"Schapiro Hall","605 W. 115th Street","Schapiro is located on 115th St between Broadway and Riverside Park. It is a corrodior-style dorm with 15 residential floors that houses sophomores, juniors, and seniors, and include singles as well as traditional and walk-through doubles. It offers traditional perks of a larger dorm - free laundry in the basement and kitchen and study lounges - as well as less conventional features, like a dance room omn the first floor and 17th floor study lounge overloooking the Hudson River.'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/7O2CFNDANZGSXOHSL6H2O2UDPU.jpg,,1,1,1,0,"Singles,Dance room on 1st floor,Sky lounge'","No A/C,Communal bathrooms by floor,Smaller rooms'",40.808495,-73.965302,placeholder,"sophomores,juniors,seniors"
"Watt Hall","549 W. 113th Street","Watt is located on 113th Street between Amsterdam and Broadway, housing mostly juniors and seniors. It’s made up of studio singles and doubles as well as 1-bedroom and 2-bedroom apartment-style rooms. There are private bathroom and kitchen in each apartment, and therefore a favorite for those who want a more private, independent living experience but also don’t want to be too removed from main campus. Its proximity to frat row can be both a pro and a con depending on what kind of residential experience you are looking for!'",COLUMBIA,https://arc-anglerfish-arc2-prod-spectator.s3.amazonaws.com/public/RHHILY5NA5EJHIL6DQFLPBMSAQ.jpg,,0,1,1,0,"Apartment style with private bathroom and kitchen,Convenient location; proximity to main campus and frats'","No A/C,Noise level'",40.806091,-73.96447,placeholder,"sophomores,juniors,seniors"
