DORM,ADDRESS,DESCRIPTION,COLLEGE,THUMBNAIL_IMAGE,PROS,CONS,SUITE,WALKTHROUGH,SINGLE_,DOUBLE_,TRIPLE_,LATITUDE,LONGITUDE,LOTTERY_NUMS,CLASS_MAKEUP,RELATED
'47 Claremont','47 Claremont',"'47 Claremont, commonly known as Claremont, is located on Claremont Avenue right off 119th Street with mostly juniors and seniors. It is made up of suites of 3-7 people, with shared bathrooms and kitchens. Claremont is loved for its vicinity to Barnard facilities and buildings, and especially coveted now with the opening of Milstein. Though slightly secluded from main campus, Claremont residents experience an intimate, tight-knit group living experience and enjoy quick access to Riverside Park.'",'COLUMBIA','react.png',"'Suite-style,Fitness room,Close to Barnard/Riverside Park'","'No A/C,Far from campus'",'',False,True,True,False,'40.810172','-73.963963','placeholder',"juniors,seniors",''
'600 W 113th','600 West 113th Street',"'600 W 113th, located on 113th and Broadway, is the perfect place for you if you want to get a taste of actually living in New York City. The dorm is just a block away from main campus, but also has close access to all the great restaurants in Morningside Heights, Westside, and Duane Reade. It’s made up of apartment style suites with a shared kitchen, private bathrooms and a mix of singles and doubles. 600 is quiet, cozy and convenient, and perfect for anyone who is looking for a more residential feel.'",'COLUMBIA','react.png',"'Suite-style; residential feel,private bathrooms/ access to kitchen,close to Westside/Duane Reade'","'No A/C,No gym,mostly doubles unless you are a senior'",'',False,True,True,False,'40.806063','-73.965803','placeholder',"sophomores,juniors,seniors",''
'Broadway Hall','114th Street and Broadway',"'Broadway Hall is a dorm located along 114th Street, and consists of mainly singles and a few doubles. It is fully AC’d and is literally a short walk not only to Lerner and Ferris, but to other places along Broadway and to John Jay and JJ’s. Broadway Hall contains a mini gym on the 4th floor and two sky lounges, one of which is fully reserved for studying. There’s also a bunch of practice rooms too! Many of the doubles, especially on the higher levels near the corners, have great views of the city. If all of these pique your interest, definitely consider Broadway!'",'COLUMBIA','react.png',"'AC throughout the building,Very close to both Ferris, other restaurants along Broadway,Sky Lounges are very spacious, great view'","'Rooms can be a little small,Bathrooms are shared between genders (not single-use) and two shower stalls per bathroom'",'',False,True,True,False,'40.806091','-73.964719','placeholder',"sophomores,juniors,seniors",''
'Carlton Arms','362 Riverside Drive',"'Carlton Arms is located on Riverside Drive between 108th and 109th Street. It is the farthest Columbia dorms from main campus, though many still love and choose it because of its large suites consisted of 3, 4, 5, 6, or 8 people. Words from the street say that from Carlton Arms you can catch a glimpse of beautiful sunset on the Hudson, and the distance from campus can also be a blessing in disguise if you want to feel more immersed in the liveliness of upper west side.'",'COLUMBIA','react.png',"'Large suites,Good facilities,close to 110th subway station'","'Far from campus,No gym'",'',False,True,True,False,'40.803830','-73.968630','placeholder','',''
'Carman Hall',"'For summer 2015, entrance will be located on 114th Street, east of Broadway'","'An all freshman dorm, Carman is the place to be if you want a vibrant social environment for your first year at Columbia. It’s made up of mini-suites with two doubles and a shared bathroom. If you’re lucky, you might end up on one of the renovated floors which are floors 7 through 13. Carman includes some convenient amenities including a small gym, practice rooms, and a communal basement lounge with kitchen. The spacious floor lounges are equipped with TVs , perfect for watching Netflix with your floormates. Plus, Mike, who works for CPS, will swipe you in with a warm smile and snazzy music.'",'COLUMBIA','react.png','','','',False,False,True,False,'40.806590','-73.964102','placeholder','first-years',''
'East Campus','Ancel Plaza',"'You have probably been to East Campus already, during NSOP or every other weekend. Known as the rowdy senior dorm, EC is consisted of townhouse, duplex suites and two-person flats with private kitchen and bathroom. Despite its notorious issues with stoves and crippling walls, EC is still one of the most popular senior housing options. You can enjoy a beautiful view looking down at Manhattan, along with a group living experience you won’t regret. It is also one of the few Columbia dorms with both A/C and a fitness room!'",'COLUMBIA','react.png',"'A/C,Fitness room,private kitchen and bathroom'","'Noise level,Molding on the walls,No stoves/ovens for 2018-2019'",'',False,True,True,False,'40.807102','-73.958915','placeholder',"sophomores,juniors,seniors",''
'Furnald Hall','Inside campus near Broadway and 115th Street',"'Comprised of mostly freshmen and some sophomores, this corridor-style dorm is the perfect place if you want a quiet environment to come home to after a busy day of classes. It's close to lots of food options including Ferris dining hall, Pret a Manger, and Morton Williams. Each floor has spacious and clean lounges with kitchens, ideal for studying or watching movies with friend, and the lobby area is also a popular hangout spot where you’ll find lots of students cramming late-night homework sessions. All of the rooms have individual A/C units which can be useful during the brutally hot fall months and frigid winters. Furnald is the place to be if you want to live in a peaceful, clean setting with great views overlooking Broadway or the Columbia campus.'",'COLUMBIA','react.png',"'Close to Lerner and stores/restaurants on Broadway,Clean bathrooms and kitchens,Quiet, low key'","'May not be social enough for outgoing people,Sense of community can be hit-or-miss based on floor'",'',False,True,True,False,'40.807415','-73.963882','placeholder',"first-years,sophomores",''
'Harmony Hall','544 West 110th Street',"'Harmony is located on 110th Street between Amsterdam and Broadway, housing mostly sophomores and juniors. It’s a corridor-style residential hall with mostly singles with shared, co-ed bathrooms and a kitchen every floor. It is rather secluded from main campus, but closer to many upper west side restaurants and stores, and offer an off-campus feel. On another note, It is the title of one of Vampire Weekend’s new songs, so if you are a fan of them, maybe you should look into Harmony for your housing options.'",'COLUMBIA','react.png',"'Mostly singles,Fitness room,Off-campus experience'","'Coed bathrooms,No A/C,Distance from campus'",'',False,True,True,False,'40.801890','-73.961270','placeholder',"sophomores,juniors,seniors",''
'Hartley Hall','Inside campus between 115th and 116th Streets',"'As part of the LLC (Living Learning Center), Hartley is one of the most community-oriented living spaces on campus. If you live here, you can meet students of all grades and can benefit from words of advice from people of all interests and backgrounds. Most suites are made up of around ten people with a shared kitchen and bathroom. Plus, Hamilton is only two minutes away and so is John Jay - perfect for those late night pancake cravings. There are plenty of places to hang out with friends including the 10th floor lounge and 1st floor lounge with a game room including pool and ping pong tables. If you want a sense of community while having your own single or double, Hartley is the way to go.'",'COLUMBIA','react.png',"'Convenient location - close to John Jay, Butler, and Hamilton,Upperclassmen are available to guide you,Spacious lounges and kitchens'","'LLC events can be a hassle at times,Facilities can be a little outdated,Sense of community/comfort is heavily dependant on suitemates'",'',False,True,True,False,'40.806412','-73.961683','placeholder',"first-years,sophomores",''
'Hogan Hall','Enter through Broadway guard desk',"'Described by one resident, as ""heave for seniors,"" Hogan Hall, located on W 14th St between Broadway and Amsterdam consists of spacious singles organized into suites. Each suite includes 4, 5, or 6 rooms along with a kitchen and private bathroom. With its close proximity to the Van Am Quad, Hogan is perfect for the senior who wants to spend their final here at MoHi living the quintessential Columbia experience -- equal part all-nighters in Butler and hosting wild ragers for friends.'",'COLUMBIA','react.png',"'Convenient location - close to John Jay, Butler, and Hamilton,Suite Style,Private kitchen and bathroom'","'No A/C,No fitness room'",'',False,True,False,False,'40.806331','-73.964564','placeholder','seniors',''
